-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,f7-I030,f0-X030,f7-I030,f1-I010
!n
g0Wa000,-------,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------,-------
g0Wa000,-------,-------,-------,-------,g4Ho030
!n
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
!n
-------,-------,-------,-------,-------,g0Wa000
-------,-------,-------,-------,-------,g0Wa000
g4Ho010,-------,-------,-------,-------,g0Wa000
!n
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------
!n
g0Go000,-------,-------,-------,-------,g0Go000
g0Wa000,-------,-------,-------,-------,g0Wa000
g0Wa000,-------,f0TT020,f0TT020,-------,g0Wa000
!n
