f2TT100,-------,-------,-------,f2TT010
g0Wa000,-------,-------,-------,g0Wa000
g0Wa000,-------,-------,-------,g0Wa000
g0Wa000,-------,-------,-------,g0Wa000
g0Wa000,-------,-------,-------,g0Wa000
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
!n
-------,-------,f1TT300,-------,-------
-------,-------,g0Wa000,-------,-------
-------,-------,g0Wa000,-------,-------
-------,-------,g0Wa000,-------,-------
-------,-------,g0Wa000,-------,-------
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
!n
f2TT000,-------,-------,-------,f2TT001
g0Wa000,-------,-------,-------,g0Wa000
g0Wa000,-------,-------,-------,g0Wa000
g0Wa000,-------,-------,-------,g0Wa000
g0Wa000,-------,-------,-------,g0Wa000
!n
