------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,1-I010
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
0Go000,------,0-I000,------,------
0Wa000,0Wa000,0Wa000,0Wa000,0Wa000
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,0-I000,------,------
0Wa000,------,0Wa000,------,0Wa000
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,0-I000,------,0Go000
0Wa000,0Wa000,0Wa000,0Wa000,0Wa000
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
!n
