-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
f0-L020,-------,-------,f0-I010,f1-I010
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,g0Wa000,-------,-------
!n
-------,-------,g0Go000,-------,-------
-------,-------,g0Wa000,f0TT300,-------
-------,g0Wa000,g0Wa000,g0Wa000,-------
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
-------,-------,g0Wa000,g0Go000,-------
!n
-------,-------,-------,-------,-------
-------,-------,-------,-------,-------
f0-L030,-------,-------,-------,-------
!n
