------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
0-L020,------,0-T000,------,------
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,0Wa030
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,1XX000,------,0TT030
0Wa030,0-I000,0Wa030,------,0Wa000
!n
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
------,------,------,------,------
!n
------,------,------,------,0Go000
------,------,------,------,0Wa000
------,------,------,------,0Wa000
------,------,------,------,0Wa000
0LL030,------,------,------,0-L000
!n
